round,task,family,quick_delta_pp,quick_cfg,med_delta_pp,med_cfg,reversal_qpos_mnonpos
114,arc_seed7_discovery,other,1.170486444837851,scalar_l8_train1e4,-2.1741894485601767,scalar_l8_train1e4,True
114,mbpp_seed7_headprobe,mbpp,1.7262173978591977,head_l10_strong,-1.04246504119076,head_l10_strong,True
115,punc_seed3_anchor,other,1.1990920960170084,scalar_l8_train1e4,1.5011596036263966,scalar_l8_train1e4,False
116,hotpot_longctx_seed2_discovery,hotpot,0.0,scalar_l8_train1e4,,,False
116,mbpp_longctx_seed0_repair,mbpp_longctx,2.3741690408357052,scalar_l8_train1e4,-6.4475108225108215,scalar_l8_train1e4,True
117,arc_seed8_discovery,other,0.5057044865962048,scalar_l8_train1e4,,,False
117,mbpp_seed8_headprobe,mbpp,-0.32724965810299045,scalar_l8_sched_cos,,,False
118,hotpot_seed8_discovery,hotpot,1.5419265419265429,scalar_l8_train8e5,0.7182068157677926,scalar_l8_train8e5,False
118,protein_ss_seed9_discovery,protein_ss,-0.2912596662596689,head_l8,,,False
119,punc_seed1_anchor_recheck3,other,0.8617864576413823,head_l8,-0.7380591040593049,head_l8,True
120,hotpot_longctx_seed3_discovery,hotpot,0.0,scalar_l8_sched_cos,,,False
120,mbpp_longctx_seed1_repair,mbpp_longctx,0.15540015540015661,scalar_l8_train1e4,,,False
121,hotpot_seed13_discovery,hotpot,5.40906290906291,scalar_l8_train1e4,1.5731959336610493,scalar_l8_train1e4,False
121,protein_ss_seed10_discovery,protein_ss,9.68827922523583,scalar_l8_train8e5,5.9565731014931895,scalar_l8_train8e5,False
122,hotpot_seed14_discovery,hotpot,0.0,scalar_l8_train8e5,,,False
122,protein_ss_seed11_discovery,protein_ss,-0.43859649122807154,scalar_l8_train1e4,,,False
123,hotpot_longctx_seed7_discovery,hotpot,0.0,scalar_l8_train1e4,,,False
123,punc_seed4_anchor,other,0.9080540371073254,scalar_l8_train8e5,0.7989991569620061,scalar_l8_train8e5,False
124,hotpot_longctx_seed8_qfirst_discovery,hotpot,0.0,scalar_l8_train1e4,,,False
124,punc_seed5_anchor,other,0.39169072281655115,scalar_l8_train8e5,,,False
125,hotpot_seed15_discovery,hotpot,-0.11655011655011677,scalar_l8_train1e4,,,False
125,protein_ss_seed12_discovery,protein_ss,-1.5603295559992125,head_l8,,,False
126,hotpot_seed16_discovery,hotpot,-0.018315018315019638,scalar_l8_train1e4,,,False
